cohort_month,region,country,advertiser_segment,campaign_objective,cohort_size,retained_day_7,retained_day_30,retained_day_90
2025-01-01,Europe,United Kingdom,SMB,App Installs,12,6,4,2
2025-01-01,Europe,United Kingdom,SMB,Catalog Sales,12,6,6,4
2025-01-01,Europe,United Kingdom,Mid-Market,Conversions,23,16,14,8
2025-01-01,Europe,United Kingdom,Mid-Market,Traffic,16,10,5,3
2025-01-01,Europe,United Kingdom,Mid-Market,Lead Generation,19,12,9,6
2025-01-01,Europe,United Kingdom,Mid-Market,App Installs,21,14,9,6
2025-01-01,Europe,United Kingdom,Mid-Market,Catalog Sales,25,16,15,8
2025-01-01,Europe,United Kingdom,Enterprise,Conversions,32,26,24,15
2025-01-01,Europe,United Kingdom,Enterprise,Traffic,38,28,14,9
2025-01-01,Europe,United Kingdom,Enterprise,Lead Generation,46,36,29,18
2025-01-01,Europe,United Kingdom,Enterprise,App Installs,46,35,24,14
2025-01-01,Europe,United Kingdom,Enterprise,Catalog Sales,28,21,17,10
2025-01-01,Europe,United Kingdom,Agency,Conversions,32,24,24,16
2025-01-01,Europe,United Kingdom,Agency,Traffic,34,25,11,7
2025-01-01,Europe,United Kingdom,Agency,Lead Generation,23,18,15,9
2025-01-01,Europe,United Kingdom,Agency,App Installs,28,20,12,7
2025-01-01,Europe,United Kingdom,Agency,Catalog Sales,28,20,16,9
2025-01-01,Europe,Germany,SMB,Conversions,14,7,6,4
2025-01-01,Europe,Germany,SMB,Traffic,15,8,3,2
2025-01-01,Europe,Germany,SMB,Lead Generation,12,6,5,3
2025-01-01,Europe,Germany,SMB,App Installs,14,7,4,3
2025-01-01,Europe,Germany,SMB,Catalog Sales,12,6,5,3
2025-01-01,Europe,Germany,Mid-Market,Conversions,22,13,13,8
2025-01-01,Europe,Germany,Mid-Market,Traffic,16,10,5,3
2025-01-01,Europe,Germany,Mid-Market,Lead Generation,18,12,10,6
2025-01-01,Europe,Germany,Mid-Market,App Installs,16,10,6,3
2025-01-01,Europe,Germany,Mid-Market,Catalog Sales,16,10,9,5
2025-01-01,Europe,Germany,Enterprise,Conversions,28,21,20,13
2025-01-01,Europe,Germany,Enterprise,Traffic,31,22,10,6
2025-01-01,Europe,Germany,Enterprise,Lead Generation,28,22,17,11
2025-01-01,Europe,Germany,Enterprise,App Installs,26,20,12,8
2025-01-01,Europe,Germany,Enterprise,Catalog Sales,33,26,24,14
2025-01-01,Europe,Germany,Agency,Conversions,28,20,18,11
2025-01-01,Europe,Germany,Agency,Traffic,28,20,9,6
2025-01-01,Europe,Germany,Agency,Lead Generation,25,16,14,9
2025-01-01,Europe,Germany,Agency,App Installs,33,22,15,9
2025-01-01,Europe,Germany,Agency,Catalog Sales,29,20,17,11
2025-01-01,Europe,France,SMB,Conversions,12,6,6,3
2025-01-01,Europe,France,SMB,Traffic,12,6,3,1
2025-01-01,Europe,France,SMB,Lead Generation,12,5,4,3
2025-01-01,Europe,France,SMB,App Installs,12,6,4,2
2025-01-01,Europe,France,SMB,Catalog Sales,13,7,5,3
2025-01-01,Europe,France,Mid-Market,Conversions,19,12,11,7
2025-01-01,Europe,France,Mid-Market,Traffic,14,9,4,2
2025-01-01,Europe,France,Mid-Market,Lead Generation,18,11,9,5
2025-01-01,Europe,France,Mid-Market,App Installs,20,12,8,5
2025-01-01,Europe,France,Mid-Market,Catalog Sales,20,11,10,6
2025-01-01,Europe,France,Enterprise,Conversions,24,18,16,10
2025-01-01,Europe,France,Enterprise,Traffic,24,18,9,5
2025-01-01,Europe,France,Enterprise,Lead Generation,33,24,18,11
2025-01-01,Europe,France,Enterprise,App Installs,28,21,14,8
2025-01-01,Europe,France,Enterprise,Catalog Sales,37,26,23,14
2025-01-01,Europe,France,Agency,Conversions,20,13,12,8
2025-01-01,Europe,France,Agency,Traffic,22,14,7,4
2025-01-01,Europe,France,Agency,Lead Generation,24,17,13,8
2025-01-01,Europe,France,Agency,App Installs,19,12,8,5
2025-01-01,Europe,France,Agency,Catalog Sales,18,12,11,7
2025-01-01,Middle East & Africa,United Arab Emirates,SMB,Conversions,12,7,6,3
2025-01-01,Middle East & Africa,United Arab Emirates,SMB,Traffic,12,6,3,2
2025-01-01,Middle East & Africa,United Arab Emirates,SMB,Lead Generation,12,6,4,2
2025-01-01,Middle East & Africa,United Arab Emirates,SMB,App Installs,12,6,3,2
2025-01-01,Middle East & Africa,United Arab Emirates,SMB,Catalog Sales,12,6,5,3
2025-01-01,Middle East & Africa,United Arab Emirates,Mid-Market,Conversions,17,12,11,7
2025-01-01,Middle East & Africa,United Arab Emirates,Mid-Market,Traffic,18,11,5,3
2025-01-01,Middle East & Africa,United Arab Emirates,Mid-Market,Lead Generation,19,13,11,7
2025-01-01,Middle East & Africa,United Arab Emirates,Mid-Market,App Installs,12,7,5,3
2025-01-01,Middle East & Africa,United Arab Emirates,Mid-Market,Catalog Sales,14,9,8,5
2025-01-01,Middle East & Africa,United Arab Emirates,Enterprise,Conversions,30,24,23,13
2025-01-01,Middle East & Africa,United Arab Emirates,Enterprise,Traffic,26,19,9,6
2025-01-01,Middle East & Africa,United Arab Emirates,Enterprise,Lead Generation,28,20,18,11
2025-01-01,Middle East & Africa,United Arab Emirates,Enterprise,App Installs,31,25,16,10
2025-01-01,Middle East & Africa,United Arab Emirates,Enterprise,Catalog Sales,22,17,14,8
2025-01-01,Middle East & Africa,United Arab Emirates,Agency,Conversions,17,12,12,8
2025-01-01,Middle East & Africa,United Arab Emirates,Agency,Traffic,21,15,8,4
2025-01-01,Middle East & Africa,United Arab Emirates,Agency,Lead Generation,16,12,9,5
2025-01-01,Middle East & Africa,United Arab Emirates,Agency,App Installs,16,11,6,4
2025-01-01,Middle East & Africa,United Arab Emirates,Agency,Catalog Sales,18,13,12,7
2025-01-01,Middle East & Africa,Saudi Arabia,SMB,Conversions,12,6,6,3
2025-01-01,Middle East & Africa,Saudi Arabia,SMB,Traffic,13,6,3,1
2025-01-01,Middle East & Africa,Saudi Arabia,SMB,Lead Generation,12,6,5,3
2025-01-01,Middle East & Africa,Saudi Arabia,SMB,App Installs,12,5,3,2
2025-01-01,Middle East & Africa,Saudi Arabia,SMB,Catalog Sales,12,6,5,3
2025-01-01,Middle East & Africa,Saudi Arabia,Mid-Market,Conversions,20,12,11,7
2025-01-01,Middle East & Africa,Saudi Arabia,Mid-Market,Traffic,15,8,4,2
2025-01-01,Middle East & Africa,Saudi Arabia,Mid-Market,Lead Generation,16,10,9,5
2025-01-01,Middle East & Africa,Saudi Arabia,Mid-Market,App Installs,13,8,5,3
2025-01-01,Middle East & Africa,Saudi Arabia,Mid-Market,Catalog Sales,13,7,6,3
2025-01-01,Middle East & Africa,Saudi Arabia,Enterprise,Conversions,32,22,22,13
2025-01-01,Middle East & Africa,Saudi Arabia,Enterprise,Traffic,23,17,7,4
2025-01-01,Middle East & Africa,Saudi Arabia,Enterprise,Lead Generation,31,22,19,12
2025-01-01,Middle East & Africa,Saudi Arabia,Enterprise,App Installs,29,21,13,8
2025-01-01,Middle East & Africa,Saudi Arabia,Enterprise,Catalog Sales,26,20,16,9
2025-01-01,Middle East & Africa,Saudi Arabia,Agency,Conversions,19,12,11,7
2025-01-01,Middle East & Africa,Saudi Arabia,Agency,Traffic,20,14,6,4
2025-01-01,Middle East & Africa,Saudi Arabia,Agency,Lead Generation,22,14,11,7
2025-01-01,Middle East & Africa,Saudi Arabia,Agency,App Installs,18,11,7,5
2025-01-01,Middle East & Africa,Saudi Arabia,Agency,Catalog Sales,27,17,15,9
2025-01-01,Middle East & Africa,South Africa,SMB,Conversions,12,6,5,3
2025-01-01,Middle East & Africa,South Africa,SMB,Traffic,12,5,2,1
2025-01-01,Middle East & Africa,South Africa,SMB,Lead Generation,12,5,4,2
2025-01-01,Middle East & Africa,South Africa,SMB,App Installs,12,5,3,2
2025-01-01,Middle East & Africa,South Africa,SMB,Catalog Sales,12,5,5,3
2025-01-01,Middle East & Africa,South Africa,Mid-Market,Conversions,12,7,6,4
2025-01-01,Middle East & Africa,South Africa,Mid-Market,Traffic,12,6,3,2
2025-01-01,Middle East & Africa,South Africa,Mid-Market,Lead Generation,13,6,5,3
2025-01-01,Middle East & Africa,South Africa,Mid-Market,App Installs,13,7,4,2
2025-01-01,Middle East & Africa,South Africa,Mid-Market,Catalog Sales,13,7,6,4
2025-01-01,Middle East & Africa,South Africa,Enterprise,Conversions,25,17,16,10
2025-01-01,Middle East & Africa,South Africa,Enterprise,Traffic,27,18,9,5
2025-01-01,Middle East & Africa,South Africa,Enterprise,Lead Generation,20,13,11,7
2025-01-01,Middle East & Africa,South Africa,Enterprise,App Installs,20,13,8,5
2025-01-01,Middle East & Africa,South Africa,Enterprise,Catalog Sales,18,12,10,6
2025-01-01,Middle East & Africa,South Africa,Agency,Conversions,21,14,12,7
2025-01-01,Middle East & Africa,South Africa,Agency,Traffic,23,14,7,4
2025-01-01,Middle East & Africa,South Africa,Agency,Lead Generation,16,9,7,4
2025-01-01,Middle East & Africa,South Africa,Agency,App Installs,16,10,6,4
2025-01-01,Middle East & Africa,South Africa,Agency,Catalog Sales,16,10,9,6
2025-01-01,Asia Pacific,Japan,SMB,Conversions,12,6,6,4
2025-01-01,Asia Pacific,Japan,SMB,Traffic,12,6,2,1
2025-01-01,Asia Pacific,Japan,SMB,Lead Generation,15,7,6,3
2025-01-01,Asia Pacific,Japan,SMB,App Installs,14,8,5,2
2025-01-01,Asia Pacific,Japan,SMB,Catalog Sales,12,6,5,3
2025-01-01,Asia Pacific,Japan,Mid-Market,Conversions,15,9,9,5
2025-01-01,Asia Pacific,Japan,Mid-Market,Traffic,18,11,5,3
2025-01-01,Asia Pacific,Japan,Mid-Market,Lead Generation,15,10,8,5
2025-01-01,Asia Pacific,Japan,Mid-Market,App Installs,17,11,7,4
2025-01-01,Asia Pacific,Japan,Mid-Market,Catalog Sales,24,16,15,8
2025-01-01,Asia Pacific,Japan,Enterprise,Conversions,36,27,27,15
2025-01-01,Asia Pacific,Japan,Enterprise,Traffic,35,28,14,8
2025-01-01,Asia Pacific,Japan,Enterprise,Lead Generation,37,28,23,14
2025-01-01,Asia Pacific,Japan,Enterprise,App Installs,42,34,21,12
2025-01-01,Asia Pacific,Japan,Enterprise,Catalog Sales,26,21,19,12
2025-01-01,Asia Pacific,Japan,Agency,Conversions,22,15,14,9
2025-01-01,Asia Pacific,Japan,Agency,Traffic,27,19,9,5
2025-01-01,Asia Pacific,Japan,Agency,Lead Generation,34,22,19,12
2025-01-01,Asia Pacific,Japan,Agency,App Installs,32,21,14,9
2025-01-01,Asia Pacific,Japan,Agency,Catalog Sales,33,25,21,12
2025-01-01,Asia Pacific,South Korea,SMB,Conversions,12,6,5,3
2025-01-01,Asia Pacific,South Korea,SMB,Traffic,13,7,3,2
2025-01-01,Asia Pacific,South Korea,SMB,Lead Generation,13,6,5,3
2025-01-01,Asia Pacific,South Korea,SMB,App Installs,12,6,3,2
2025-01-01,Asia Pacific,South Korea,SMB,Catalog Sales,12,6,5,3
2025-01-01,Asia Pacific,South Korea,Mid-Market,Conversions,15,9,8,5
2025-01-01,Asia Pacific,South Korea,Mid-Market,Traffic,14,9,4,2
2025-01-01,Asia Pacific,South Korea,Mid-Market,Lead Generation,22,13,10,6
2025-01-01,Asia Pacific,South Korea,Mid-Market,App Installs,23,14,9,5
2025-01-01,Asia Pacific,South Korea,Mid-Market,Catalog Sales,15,10,8,5
2025-01-01,Asia Pacific,South Korea,Enterprise,Conversions,34,24,23,15
2025-01-01,Asia Pacific,South Korea,Enterprise,Traffic,30,24,12,7
2025-01-01,Asia Pacific,South Korea,Enterprise,Lead Generation,35,26,22,15
2025-01-01,Asia Pacific,South Korea,Enterprise,App Installs,28,22,13,8
2025-01-01,Asia Pacific,South Korea,Enterprise,Catalog Sales,30,22,18,12
2025-01-01,Asia Pacific,South Korea,Agency,Conversions,23,16,16,11
2025-01-01,Asia Pacific,South Korea,Agency,Traffic,23,17,8,5
2025-01-01,Asia Pacific,South Korea,Agency,Lead Generation,30,23,19,11
2025-01-01,Asia Pacific,South Korea,Agency,App Installs,20,14,9,6
2025-01-01,Asia Pacific,South Korea,Agency,Catalog Sales,20,13,11,7
2025-01-01,Asia Pacific,Australia,SMB,Conversions,12,6,5,3
2025-01-01,Asia Pacific,Australia,SMB,Traffic,12,6,3,1
2025-01-01,Asia Pacific,Australia,SMB,Lead Generation,12,6,5,3
2025-01-01,Asia Pacific,Australia,SMB,App Installs,12,6,4,2
2025-01-01,Asia Pacific,Australia,SMB,Catalog Sales,12,6,6,4
2025-01-01,Asia Pacific,Australia,Mid-Market,Conversions,12,7,6,4
2025-01-01,Asia Pacific,Australia,Mid-Market,Traffic,18,12,5,3
2025-01-01,Asia Pacific,Australia,Mid-Market,Lead Generation,19,12,11,6
2025-01-01,Asia Pacific,Australia,Mid-Market,App Installs,16,9,6,3
2025-01-01,Asia Pacific,Australia,Mid-Market,Catalog Sales,14,9,7,4
2025-01-01,Asia Pacific,Australia,Enterprise,Conversions,25,18,18,10
2025-01-01,Asia Pacific,Australia,Enterprise,Traffic,30,22,10,6
2025-01-01,Asia Pacific,Australia,Enterprise,Lead Generation,26,21,18,11
2025-01-01,Asia Pacific,Australia,Enterprise,App Installs,32,27,15,10
2025-01-01,Asia Pacific,Australia,Enterprise,Catalog Sales,23,17,15,10
2025-01-01,Asia Pacific,Australia,Agency,Conversions,18,12,12,7
2025-01-01,Asia Pacific,Australia,Agency,Traffic,17,13,6,4
2025-01-01,Asia Pacific,Australia,Agency,Lead Generation,21,15,11,7
2025-01-01,Asia Pacific,Australia,Agency,App Installs,21,15,9,5
2025-01-01,Asia Pacific,Australia,Agency,Catalog Sales,21,14,11,7
2025-01-01,Asia Pacific,Indonesia,SMB,Conversions,17,8,8,4
2025-01-01,Asia Pacific,Indonesia,SMB,Traffic,12,5,2,1
2025-01-01,Asia Pacific,Indonesia,SMB,Lead Generation,17,8,6,4
2025-01-01,Asia Pacific,Indonesia,SMB,App Installs,16,7,4,2
2025-01-01,Asia Pacific,Indonesia,SMB,Catalog Sales,17,7,6,4
2025-01-01,Asia Pacific,Indonesia,Mid-Market,Conversions,21,12,11,6
2025-01-01,Asia Pacific,Indonesia,Mid-Market,Traffic,27,15,7,5
2025-01-01,Asia Pacific,Indonesia,Mid-Market,Lead Generation,17,10,8,5
2025-01-01,Asia Pacific,Indonesia,Mid-Market,App Installs,23,13,9,5
2025-01-01,Asia Pacific,Indonesia,Mid-Market,Catalog Sales,18,9,8,5
2025-01-01,Asia Pacific,Indonesia,Enterprise,Conversions,46,30,30,17
2025-01-01,Asia Pacific,Indonesia,Enterprise,Traffic,34,21,10,6
2025-01-01,Asia Pacific,Indonesia,Enterprise,Lead Generation,43,27,22,14
2025-01-01,Asia Pacific,Indonesia,Enterprise,App Installs,31,21,13,8
2025-01-01,Asia Pacific,Indonesia,Enterprise,Catalog Sales,35,22,20,12
2025-01-01,Asia Pacific,Indonesia,Agency,Conversions,31,19,17,10
2025-01-01,Asia Pacific,Indonesia,Agency,Traffic,36,22,11,6
2025-01-01,Asia Pacific,Indonesia,Agency,Lead Generation,35,23,19,12
2025-01-01,Asia Pacific,Indonesia,Agency,App Installs,34,22,15,9
2025-01-01,Asia Pacific,Indonesia,Agency,Catalog Sales,31,18,16,9
2025-02-01,North America,United States,SMB,Conversions,18,10,10,6
2025-02-01,North America,United States,SMB,Traffic,20,11,5,3
2025-02-01,North America,United States,SMB,Lead Generation,21,11,9,5
2025-02-01,North America,United States,SMB,App Installs,21,12,7,4
2025-02-01,North America,United States,SMB,Catalog Sales,15,8,8,5
2025-02-01,North America,United States,Mid-Market,Conversions,39,27,26,16
2025-02-01,North America,United States,Mid-Market,Traffic,30,21,10,6
2025-02-01,North America,United States,Mid-Market,Lead Generation,31,22,18,11
2025-02-01,North America,United States,Mid-Market,App Installs,28,20,13,8
2025-02-01,North America,United States,Mid-Market,Catalog Sales,37,26,22,13
2025-02-01,North America,United States,Enterprise,Conversions,55,47,43,27
2025-02-01,North America,United States,Enterprise,Traffic,58,46,20,12
2025-02-01,North America,United States,Enterprise,Lead Generation,63,54,43,25
2025-02-01,North America,United States,Enterprise,App Installs,43,36,22,14
2025-02-01,North America,United States,Enterprise,Catalog Sales,44,36,29,19
2025-02-01,North America,United States,Agency,Conversions,40,31,28,18
2025-02-01,North America,United States,Agency,Traffic,36,27,13,7
2025-02-01,North America,United States,Agency,Lead Generation,37,30,24,15
2025-02-01,North America,United States,Agency,App Installs,54,40,27,16
2025-02-01,North America,United States,Agency,Catalog Sales,45,32,26,17
2025-02-01,North America,Canada,SMB,Conversions,12,6,5,3
2025-02-01,North America,Canada,SMB,Traffic,12,6,3,2
2025-02-01,North America,Canada,SMB,Lead Generation,12,6,5,3
2025-02-01,North America,Canada,SMB,App Installs,12,6,4,2
2025-02-01,North America,Canada,SMB,Catalog Sales,12,6,5,3
2025-02-01,North America,Canada,Mid-Market,Conversions,19,12,11,7
2025-02-01,North America,Canada,Mid-Market,Traffic,20,13,6,3
2025-02-01,North America,Canada,Mid-Market,Lead Generation,18,11,9,6
2025-02-01,North America,Canada,Mid-Market,App Installs,17,11,7,4
2025-02-01,North America,Canada,Mid-Market,Catalog Sales,17,10,9,6
2025-02-01,North America,Canada,Enterprise,Conversions,24,19,19,12
2025-02-01,North America,Canada,Enterprise,Traffic,22,17,7,5
2025-02-01,North America,Canada,Enterprise,Lead Generation,32,25,21,13
2025-02-01,North America,Canada,Enterprise,App Installs,28,22,14,9
2025-02-01,North America,Canada,Enterprise,Catalog Sales,35,27,22,13
2025-02-01,North America,Canada,Agency,Conversions,22,16,16,10
2025-02-01,North America,Canada,Agency,Traffic,17,11,5,3
2025-02-01,North America,Canada,Agency,Lead Generation,24,16,15,9
2025-02-01,North America,Canada,Agency,App Installs,27,18,12,8
2025-02-01,North America,Canada,Agency,Catalog Sales,25,19,16,11
2025-02-01,Europe,United Kingdom,SMB,Conversions,15,8,8,4
2025-02-01,Europe,United Kingdom,SMB,Traffic,14,7,3,2
2025-02-01,Europe,United Kingdom,SMB,Lead Generation,12,7,5,3
2025-02-01,Europe,United Kingdom,SMB,App Installs,15,7,4,2
2025-02-01,Europe,United Kingdom,SMB,Catalog Sales,12,6,6,3
2025-02-01,Europe,United Kingdom,Mid-Market,Conversions,22,15,15,10
2025-02-01,Europe,United Kingdom,Mid-Market,Traffic,27,18,7,5
2025-02-01,Europe,United Kingdom,Mid-Market,Lead Generation,17,11,9,6
2025-02-01,Europe,United Kingdom,Mid-Market,App Installs,23,14,9,5
2025-02-01,Europe,United Kingdom,Mid-Market,Catalog Sales,20,13,11,6
2025-02-01,Europe,United Kingdom,Enterprise,Conversions,34,26,26,15
2025-02-01,Europe,United Kingdom,Enterprise,Traffic,44,32,14,9
2025-02-01,Europe,United Kingdom,Enterprise,Lead Generation,29,23,20,13
2025-02-01,Europe,United Kingdom,Enterprise,App Installs,34,28,19,11
2025-02-01,Europe,United Kingdom,Enterprise,Catalog Sales,35,26,21,12
2025-02-01,Europe,United Kingdom,Agency,Conversions,28,22,19,11
2025-02-01,Europe,United Kingdom,Agency,Traffic,28,20,10,6
2025-02-01,Europe,United Kingdom,Agency,Lead Generation,29,22,18,11
2025-02-01,Europe,United Kingdom,Agency,App Installs,29,21,12,8
2025-02-01,Europe,United Kingdom,Agency,Catalog Sales,27,21,18,10
2025-02-01,Europe,Germany,SMB,Conversions,12,6,6,3
2025-02-01,Europe,Germany,SMB,Traffic,12,6,3,2
2025-02-01,Europe,Germany,SMB,Lead Generation,14,7,6,4
2025-02-01,Europe,Germany,SMB,App Installs,14,7,4,2
2025-02-01,Europe,Germany,SMB,Catalog Sales,12,6,5,3
2025-02-01,Europe,Germany,Mid-Market,Conversions,19,11,10,6
2025-02-01,Europe,Germany,Mid-Market,Traffic,24,14,7,4
2025-02-01,Europe,Germany,Mid-Market,Lead Generation,22,13,10,6
2025-02-01,Europe,Germany,Mid-Market,App Installs,15,9,5,3
2025-02-01,Europe,Germany,Mid-Market,Catalog Sales,20,13,10,6
2025-02-01,Europe,Germany,Enterprise,Conversions,31,23,23,14
2025-02-01,Europe,Germany,Enterprise,Traffic,34,26,13,8
2025-02-01,Europe,Germany,Enterprise,Lead Generation,35,28,22,13
2025-02-01,Europe,Germany,Enterprise,App Installs,40,31,21,12
2025-02-01,Europe,Germany,Enterprise,Catalog Sales,42,32,26,15
2025-02-01,Europe,Germany,Agency,Conversions,33,24,23,14
2025-02-01,Europe,Germany,Agency,Traffic,30,20,10,6
2025-02-01,Europe,Germany,Agency,Lead Generation,24,17,14,8
2025-02-01,Europe,Germany,Agency,App Installs,22,16,10,6
2025-02-01,Europe,Germany,Agency,Catalog Sales,23,16,14,8
2025-02-01,Europe,France,SMB,Conversions,12,5,5,3
2025-02-01,Europe,France,SMB,Traffic,12,6,3,1
2025-02-01,Europe,France,SMB,Lead Generation,12,6,5,3
2025-02-01,Europe,France,SMB,App Installs,12,6,3,2
2025-02-01,Europe,France,SMB,Catalog Sales,12,6,5,3
2025-02-01,Europe,France,Mid-Market,Conversions,13,7,6,4
2025-02-01,Europe,France,Mid-Market,Traffic,13,8,4,2
2025-02-01,Europe,France,Mid-Market,Lead Generation,16,9,8,4
2025-02-01,Europe,France,Mid-Market,App Installs,13,7,4,2
2025-02-01,Europe,France,Mid-Market,Catalog Sales,16,10,9,5
2025-02-01,Europe,France,Enterprise,Conversions,32,25,23,15
2025-02-01,Europe,France,Enterprise,Traffic,28,21,10,6
2025-02-01,Europe,France,Enterprise,Lead Generation,32,21,19,12
2025-02-01,Europe,France,Enterprise,App Installs,36,28,18,12
2025-02-01,Europe,France,Enterprise,Catalog Sales,23,15,14,9
2025-02-01,Europe,France,Agency,Conversions,20,14,14,9
2025-02-01,Europe,France,Agency,Traffic,21,13,5,3
2025-02-01,Europe,France,Agency,Lead Generation,19,13,11,7
2025-02-01,Europe,France,Agency,App Installs,21,14,9,5
2025-02-01,Europe,France,Agency,Catalog Sales,24,16,14,8
2025-02-01,Middle East & Africa,United Arab Emirates,SMB,Conversions,12,7,6,4
2025-02-01,Middle East & Africa,United Arab Emirates,SMB,Traffic,12,6,3,1
2025-02-01,Middle East & Africa,United Arab Emirates,SMB,Lead Generation,12,6,5,3
2025-02-01,Middle East & Africa,United Arab Emirates,SMB,App Installs,12,6,4,2
2025-02-01,Middle East & Africa,United Arab Emirates,SMB,Catalog Sales,12,6,5,3
2025-02-01,Middle East & Africa,United Arab Emirates,Mid-Market,Conversions,12,8,7,4
2025-02-01,Middle East & Africa,United Arab Emirates,Mid-Market,Traffic,18,11,5,3
2025-02-01,Middle East & Africa,United Arab Emirates,Mid-Market,Lead Generation,13,8,7,4
2025-02-01,Middle East & Africa,United Arab Emirates,Mid-Market,App Installs,18,11,6,4
2025-02-01,Middle East & Africa,United Arab Emirates,Mid-Market,Catalog Sales,12,8,7,5
2025-02-01,Middle East & Africa,United Arab Emirates,Enterprise,Conversions,26,20,20,13
2025-02-01,Middle East & Africa,United Arab Emirates,Enterprise,Traffic,25,21,9,5
2025-02-01,Middle East & Africa,United Arab Emirates,Enterprise,Lead Generation,21,16,14,8
2025-02-01,Middle East & Africa,United Arab Emirates,Enterprise,App Installs,31,24,16,9
2025-02-01,Middle East & Africa,United Arab Emirates,Enterprise,Catalog Sales,30,22,20,12
2025-02-01,Middle East & Africa,United Arab Emirates,Agency,Conversions,20,13,13,7
2025-02-01,Middle East & Africa,United Arab Emirates,Agency,Traffic,18,13,6,3
2025-02-01,Middle East & Africa,United Arab Emirates,Agency,Lead Generation,21,15,13,8
2025-02-01,Middle East & Africa,United Arab Emirates,Agency,App Installs,20,15,9,5
2025-02-01,Middle East & Africa,United Arab Emirates,Agency,Catalog Sales,17,13,12,7
2025-02-01,Middle East & Africa,Saudi Arabia,SMB,Conversions,12,5,5,3
2025-02-01,Middle East & Africa,Saudi Arabia,SMB,Traffic,12,5,2,1
2025-02-01,Middle East & Africa,Saudi Arabia,SMB,Lead Generation,12,5,5,2
2025-02-01,Middle East & Africa,Saudi Arabia,SMB,App Installs,12,6,3,2
2025-02-01,Middle East & Africa,Saudi Arabia,SMB,Catalog Sales,12,6,5,3
2025-02-01,Middle East & Africa,Saudi Arabia,Mid-Market,Conversions,20,13,11,7
2025-02-01,Middle East & Africa,Saudi Arabia,Mid-Market,Traffic,20,12,6,4
2025-02-01,Middle East & Africa,Saudi Arabia,Mid-Market,Lead Generation,21,14,11,7
2025-02-01,Middle East & Africa,Saudi Arabia,Mid-Market,App Installs,18,10,7,4
2025-02-01,Middle East & Africa,Saudi Arabia,Mid-Market,Catalog Sales,19,11,10,6
2025-02-01,Middle East & Africa,Saudi Arabia,Enterprise,Conversions,36,27,23,14
2025-02-01,Middle East & Africa,Saudi Arabia,Enterprise,Traffic,32,23,10,6
